"DestAccountID"||"SeqID"||"SourceAccountID"||"Multiplier"
"50"||"1"||"20"||"1.0000"
"50"||"2"||"30"||"1.0000"
"50"||"3"||"40"||"1.0000"
"60"||"1"||"10"||"1.0000"
"60"||"2"||"20"||"-1.0000"
"60"||"3"||"30"||"-1.0000"
"60"||"4"||"40"||"-1.0000"
"110"||"1"||"70"||"1.0000"
"110"||"2"||"80"||"1.0000"
"110"||"3"||"90"||"1.0000"
"110"||"4"||"100"||"1.0000"
"230"||"1"||"70"||"1.0000"
"230"||"2"||"80"||"1.0000"
"230"||"3"||"90"||"1.0000"
"230"||"4"||"100"||"1.0000"
"230"||"5"||"120"||"1.0000"
"230"||"6"||"130"||"1.0000"
"230"||"7"||"140"||"1.0000"
"230"||"8"||"150"||"1.0000"
"230"||"9"||"160"||"1.0000"
"230"||"10"||"170"||"1.0000"
"230"||"11"||"180"||"1.0000"
"230"||"12"||"185"||"1.0000"
"230"||"13"||"190"||"1.0000"
"230"||"14"||"200"||"1.0000"
"230"||"15"||"210"||"1.0000"
"230"||"16"||"220"||"1.0000"
"240"||"1"||"10"||"1.0000"
"240"||"2"||"20"||"-1.0000"
"240"||"3"||"30"||"-1.0000"
"240"||"4"||"40"||"-1.0000"
"240"||"5"||"70"||"-1.0000"
"240"||"6"||"80"||"-1.0000"
"240"||"7"||"90"||"-1.0000"
"240"||"8"||"100"||"-1.0000"
"240"||"9"||"120"||"-1.0000"
"240"||"10"||"130"||"-1.0000"
"240"||"11"||"140"||"-1.0000"
"240"||"12"||"150"||"-1.0000"
"240"||"13"||"160"||"-1.0000"
"240"||"14"||"170"||"-1.0000"
"240"||"15"||"180"||"-1.0000"
"240"||"16"||"185"||"-1.0000"
"240"||"17"||"190"||"-1.0000"
"240"||"18"||"200"||"-1.0000"
"240"||"19"||"210"||"-1.0000"
"240"||"20"||"220"||"-1.0000"
"320"||"1"||"250"||"1.0000"
"320"||"2"||"260"||"1.0000"
"320"||"3"||"270"||"1.0000"
"320"||"4"||"280"||"1.0000"
"320"||"5"||"290"||"1.0000"
"320"||"6"||"300"||"1.0000"
"320"||"7"||"310"||"1.0000"
"350"||"1"||"330"||"1.0000"
"350"||"2"||"340"||"-1.0000"
"410"||"1"||"370"||"1.0000"
"410"||"2"||"380"||"1.0000"
"410"||"3"||"390"||"1.0000"
"410"||"4"||"400"||"1.0000"
"420"||"1"||"360"||"1.0000"
"420"||"2"||"370"||"1.0000"
"420"||"3"||"380"||"1.0000"
"420"||"4"||"390"||"1.0000"
"420"||"5"||"400"||"1.0000"
"440"||"1"||"10"||"1.0000"
"440"||"2"||"20"||"-1.0000"
"440"||"3"||"30"||"-1.0000"
"440"||"4"||"40"||"-1.0000"
"440"||"5"||"70"||"-1.0000"
"440"||"6"||"80"||"-1.0000"
"440"||"7"||"90"||"-1.0000"
"440"||"8"||"100"||"-1.0000"
"440"||"9"||"120"||"-1.0000"
"440"||"10"||"130"||"-1.0000"
"440"||"11"||"140"||"-1.0000"
"440"||"12"||"150"||"-1.0000"
"440"||"13"||"160"||"-1.0000"
"440"||"14"||"170"||"-1.0000"
"440"||"15"||"180"||"-1.0000"
"440"||"16"||"185"||"-1.0000"
"440"||"17"||"190"||"-1.0000"
"440"||"18"||"200"||"-1.0000"
"440"||"19"||"210"||"-1.0000"
"440"||"20"||"220"||"-1.0000"
"440"||"21"||"250"||"-1.0000"
"440"||"22"||"260"||"-1.0000"
"440"||"23"||"270"||"-1.0000"
"440"||"24"||"280"||"-1.0000"
"440"||"25"||"290"||"-1.0000"
"440"||"26"||"300"||"-1.0000"
"440"||"27"||"310"||"-1.0000"
"440"||"28"||"330"||"1.0000"
"440"||"29"||"340"||"-1.0000"
"440"||"30"||"360"||"-1.0000"
"440"||"31"||"370"||"-1.0000"
"440"||"32"||"380"||"-1.0000"
"440"||"33"||"390"||"-1.0000"
"440"||"34"||"400"||"-1.0000"
"440"||"35"||"430"||"-1.0000"
"450"||"1"||"10"||"1.0000"
"450"||"2"||"20"||"-1.0000"
"450"||"3"||"30"||"-1.0000"
"450"||"4"||"40"||"-1.0000"
"450"||"5"||"70"||"-1.0000"
"450"||"6"||"80"||"-1.0000"
"450"||"7"||"90"||"-1.0000"
"450"||"8"||"100"||"-1.0000"
"450"||"9"||"120"||"-1.0000"
"450"||"10"||"130"||"-1.0000"
"450"||"11"||"140"||"-1.0000"
"450"||"12"||"150"||"-1.0000"
"450"||"13"||"160"||"-1.0000"
"450"||"14"||"170"||"-1.0000"
"450"||"15"||"180"||"-1.0000"
"450"||"16"||"185"||"-1.0000"
"450"||"17"||"190"||"-1.0000"
"450"||"18"||"200"||"-1.0000"
"450"||"19"||"210"||"-1.0000"
"450"||"20"||"220"||"-1.0000"
"450"||"21"||"250"||"-1.0000"
"450"||"22"||"260"||"-1.0000"
"450"||"23"||"270"||"-1.0000"
"450"||"24"||"280"||"-1.0000"
"450"||"25"||"290"||"-1.0000"
"450"||"26"||"300"||"-1.0000"
"450"||"27"||"310"||"-1.0000"
"450"||"28"||"330"||"1.0000"
"450"||"29"||"340"||"-1.0000"
"10060"||"1"||"10010"||"1.0000"
"10060"||"2"||"10020"||"1.0000"
"10060"||"3"||"10030"||"1.0000"
"10060"||"4"||"10040"||"1.0000"
"10060"||"5"||"10050"||"1.0000"
"10110"||"1"||"10070"||"1.0000"
"10110"||"2"||"10080"||"1.0000"
"10110"||"3"||"10090"||"1.0000"
"10110"||"4"||"10100"||"1.0000"
"10150"||"1"||"10120"||"1.0000"
"10150"||"2"||"10130"||"1.0000"
"10150"||"3"||"10140"||"1.0000"
"10160"||"1"||"10010"||"1.0000"
"10160"||"2"||"10020"||"1.0000"
"10160"||"3"||"10030"||"1.0000"
"10160"||"4"||"10040"||"1.0000"
"10160"||"5"||"10050"||"1.0000"
"10160"||"6"||"10070"||"1.0000"
"10160"||"7"||"10080"||"1.0000"
"10160"||"8"||"10090"||"1.0000"
"10160"||"9"||"10100"||"1.0000"
"10160"||"10"||"10120"||"1.0000"
"10160"||"11"||"10130"||"1.0000"
"10160"||"12"||"10140"||"1.0000"
"10220"||"1"||"10170"||"1.0000"
"10220"||"2"||"10180"||"1.0000"
"10220"||"3"||"10190"||"1.0000"
"10220"||"4"||"10200"||"1.0000"
"10220"||"5"||"10210"||"1.0000"
"10280"||"1"||"10230"||"1.0000"
"10280"||"2"||"10240"||"1.0000"
"10280"||"3"||"10250"||"1.0000"
"10280"||"4"||"10260"||"1.0000"
"10280"||"5"||"10270"||"1.0000"
"10290"||"1"||"10170"||"1.0000"
"10290"||"2"||"10180"||"1.0000"
"10290"||"3"||"10190"||"1.0000"
"10290"||"4"||"10200"||"1.0000"
"10290"||"5"||"10210"||"1.0000"
"10290"||"6"||"10230"||"1.0000"
"10290"||"7"||"10240"||"1.0000"
"10290"||"8"||"10250"||"1.0000"
"10290"||"9"||"10260"||"1.0000"
"10290"||"10"||"10270"||"1.0000"
"10340"||"1"||"10300"||"1.0000"
"10340"||"2"||"10310"||"1.0000"
"10340"||"3"||"10320"||"1.0000"
"10340"||"4"||"10330"||"1.0000"
"10350"||"1"||"10170"||"1.0000"
"10350"||"2"||"10180"||"1.0000"
"10350"||"3"||"10190"||"1.0000"
"10350"||"4"||"10200"||"1.0000"
"10350"||"5"||"10210"||"1.0000"
"10350"||"6"||"10230"||"1.0000"
"10350"||"7"||"10240"||"1.0000"
"10350"||"8"||"10250"||"1.0000"
"10350"||"9"||"10260"||"1.0000"
"10350"||"10"||"10270"||"1.0000"
"10350"||"11"||"10300"||"1.0000"
"10350"||"12"||"10310"||"1.0000"
"10350"||"13"||"10320"||"1.0000"
"10350"||"14"||"10330"||"1.0000"
