"AccountID"||"AccountName"||"StatementType"||"IsCalculated"||"DivisorAccountID"||"DisplayOrder"
"10"||"Product Sales"||"PL"||"0"||"10"||"10"
"20"||"Food"||"PL"||"0"||"10"||"20"
"30"||"Paper"||"PL"||"0"||"10"||"30"
"40"||"Other Cost of Sales"||"PL"||"0"||"10"||"40"
"50"||"Cost of Sales"||"PL"||"1"||"10"||"50"
"60"||"Gross Profit"||"PL"||"1"||"10"||"60"
"70"||"Management Labor"||"PL"||"0"||"10"||"70"
"80"||"Crew Labor"||"PL"||"0"||"10"||"80"
"90"||"Payroll Taxes"||"PL"||"0"||"10"||"90"
"100"||"Other Labor"||"PL"||"0"||"10"||"100"
"110"||"Labor"||"PL"||"1"||"10"||"110"
"120"||"Utilities"||"PL"||"0"||"10"||"120"
"130"||"Advertising"||"PL"||"0"||"10"||"130"
"140"||"Travel"||"PL"||"0"||"10"||"140"
"150"||"Promotion"||"PL"||"0"||"10"||"150"
"160"||"Outside Services"||"PL"||"0"||"10"||"160"
"170"||"Linen"||"PL"||"0"||"10"||"170"
"180"||"Operating Supplies"||"PL"||"0"||"10"||"180"
"185"||"Delivery Fees/Commissions"||"PL"||"0"||"10"||"190"
"190"||"Maintenance & Repair"||"PL"||"0"||"10"||"200"
"200"||"Office"||"PL"||"0"||"10"||"210"
"210"||"Cash +/-"||"PL"||"0"||"10"||"220"
"220"||"Miscellaneous Controllables"||"PL"||"0"||"10"||"230"
"230"||"Controllable Expenses"||"PL"||"1"||"10"||"240"
"240"||"Profit After Controllable"||"PL"||"1"||"10"||"250"
"250"||"Rent"||"PL"||"0"||"10"||"260"
"260"||"Royalty"||"PL"||"0"||"10"||"270"
"270"||"Accounting"||"PL"||"0"||"10"||"280"
"280"||"Legal"||"PL"||"0"||"10"||"290"
"290"||"Insurance"||"PL"||"0"||"10"||"300"
"300"||"Taxes & Licenses"||"PL"||"0"||"10"||"310"
"310"||"Other Non-Controllable Expenses"||"PL"||"0"||"10"||"320"
"320"||"Non-Controllable Expenses"||"PL"||"1"||"10"||"330"
"330"||"Non-Product Sales"||"PL"||"0"||"10"||"340"
"340"||"Non-Product Costs"||"PL"||"0"||"10"||"350"
"350"||"Net Non-Product Income"||"PL"||"1"||"10"||"360"
"360"||"Interest Expense"||"PL"||"0"||"10"||"370"
