"StoreID"||"StoreName"||"StoreAddress"||"City"||"StProv"||"Country"||"Status"||"SiteType"
"103986"||"103986 - Meadow Ridge"||"7539 Homewood Trail"||"Philadelphia"||"PA"||"United States"||"Open"||"Store"
"103987"||"103987 - Elmside"||"17 Erie Center"||"Marietta"||"GA"||"United States"||"Open"||"Store"
"103988"||"103988 - Lakewood Gardens"||"15582 Evergreen Place"||"Washington"||"DC"||"United States"||"Open"||"Store"
"103989"||"103989 - Fremont"||"077 Porter Court"||"Akron"||"OH"||"United States"||"Open"||"Store"
"103990"||"103990 - Stang"||"294 Tony Lane"||"Richmond"||"VA"||"United States"||"Open"||"Store"
"103991"||"103991 - Lindbergh"||"4494 Golf View Road"||"Apache Junction"||"AZ"||"United States"||"Open"||"Store"
"103992"||"103992 - Valley Edge"||"08671 Kings Trail"||"Charleston"||"WV"||"United States"||"Open"||"Store"
"103993"||"103993 - Mariners Cove"||"8 Meadow Ridge Street"||"San Francisco"||"CA"||"United States"||"Open"||"Store"
"103994"||"103994 - Blackbird"||"84684 Derek Pass"||"Kansas City"||"MO"||"United States"||"Open"||"Store"
"103995"||"103995 - Killdeer"||"7692 Packers Court"||"Birmingham"||"AL"||"United States"||"Open"||"Store"
"103996"||"103996 - Derek"||"8075 Heath Drive"||"Portsmouth"||"NH"||"United States"||"Open"||"Store"
"103997"||"103997 - Shoshone"||"4 Nevada Hill"||"Seattle"||"WA"||"United States"||"Open"||"Store"
"103998"||"103998 - 8th"||"00 Dennis Drive"||"San Francisco"||"CA"||"United States"||"Open"||"Store"
"103999"||"103999 - Atwood"||"5909 Montana Parkway"||"Corpus Christi"||"TX"||"United States"||"Open"||"Store"
"104000"||"104000 - Village"||"7806 Darwin Lane"||"Irvine"||"CA"||"United States"||"Open"||"Store"
"104001"||"104001 - Elmside"||"8 Pond Junction"||"Jacksonville"||"FL"||"United States"||"Open"||"Store"
"104002"||"104002 - Artisan"||"97569 Twin Pines Junction"||"Washington"||"DC"||"United States"||"Closed"||"Store"
"104003"||"104003 - Sachtjen"||"98 Loomis Plaza"||"Pasadena"||"CA"||"United States"||"Open"||"Store"
"104004"||"104004 - Donald"||"32 David Street"||"Scottsdale"||"AZ"||"United States"||"Open"||"Store"
"104005"||"104005 - Caliangt"||"301 Buhler Parkway"||"Littleton"||"CO"||"United States"||"Open"||"Store"
